init.ckpt wins: 8, random wins: 0, Draws: 0
random wins: 1, stage1.ckpt wins: 3, Draws: 4
init.ckpt wins: 6, stage1.ckpt wins: 0, Draws: 2
random wins: 3, stage2.ckpt wins: 5, Draws: 0
init.ckpt wins: 5, stage2.ckpt wins: 0, Draws: 3
random wins: 0, stage3.ckpt wins: 8, Draws: 0
init.ckpt wins: 4, stage3.ckpt wins: 3, Draws: 1
random wins: 0, stage4.ckpt wins: 5, Draws: 3
init.ckpt wins: 6, stage4.ckpt wins: 0, Draws: 2
random wins: 0, stage5.ckpt wins: 7, Draws: 1
init.ckpt wins: 5, stage5.ckpt wins: 0, Draws: 3
random wins: 0, stage6.ckpt wins: 4, Draws: 4
init.ckpt wins: 6, stage6.ckpt wins: 0, Draws: 2
random wins: 1, stage7.ckpt wins: 7, Draws: 0
init.ckpt wins: 2, stage7.ckpt wins: 0, Draws: 6
stage1.ckpt wins: 2, stage2.ckpt wins: 4, Draws: 2
stage1.ckpt wins: 0, stage3.ckpt wins: 7, Draws: 1
stage1.ckpt wins: 2, stage4.ckpt wins: 1, Draws: 5
stage1.ckpt wins: 0, stage5.ckpt wins: 4, Draws: 4
stage1.ckpt wins: 1, stage6.ckpt wins: 2, Draws: 5
stage1.ckpt wins: 1, stage7.ckpt wins: 7, Draws: 0
stage2.ckpt wins: 0, stage3.ckpt wins: 8, Draws: 0
stage2.ckpt wins: 3, stage4.ckpt wins: 1, Draws: 4
stage2.ckpt wins: 2, stage5.ckpt wins: 4, Draws: 2
stage2.ckpt wins: 4, stage6.ckpt wins: 2, Draws: 2
stage2.ckpt wins: 0, stage7.ckpt wins: 5, Draws: 3
stage3.ckpt wins: 7, stage4.ckpt wins: 0, Draws: 1
stage3.ckpt wins: 5, stage5.ckpt wins: 1, Draws: 2
stage3.ckpt wins: 7, stage6.ckpt wins: 0, Draws: 1
stage3.ckpt wins: 3, stage7.ckpt wins: 1, Draws: 4
stage4.ckpt wins: 1, stage5.ckpt wins: 4, Draws: 3
stage4.ckpt wins: 2, stage6.ckpt wins: 2, Draws: 4
stage4.ckpt wins: 0, stage7.ckpt wins: 4, Draws: 4
stage5.ckpt wins: 6, stage6.ckpt wins: 1, Draws: 1
stage5.ckpt wins: 0, stage7.ckpt wins: 1, Draws: 7
stage6.ckpt wins: 0, stage7.ckpt wins: 7, Draws: 1
